"101802","กรุงเทพมหานคร","คลองสาน","คลองสาน","10600"
"101803","กรุงเทพมหานคร","คลองสาน","บางลำภูล่าง","10600"
"101804","กรุงเทพมหานคร","คลองสาน","คลองต้นไทร","10600"
"101901","กรุงเทพมหานคร","ตลิ่งชัน","คลองชักพระ","10170"
"101902","กรุงเทพมหานคร","ตลิ่งชัน","ตลิ่งชัน","10170"
"101903","กรุงเทพมหานคร","ตลิ่งชัน","ฉิมพลี","10170"
"101904","กรุงเทพมหานคร","ตลิ่งชัน","บางพรม","10170"
"101905","กรุงเทพมหานคร","ตลิ่งชัน","บางระมาด","10170"
"101907","กรุงเทพมหานคร","ตลิ่งชัน","บางเชือกหนัง","10170"
"102004","กรุงเทพมหานคร","บางกอกน้อย","ศิริราช","10700"
"102005","กรุงเทพมหานคร","บางกอกน้อย","บ้านช่างหล่อ","10700"
"102006","กรุงเทพมหานคร","บางกอกน้อย","บางขุนนนท์","10700"
"102007","กรุงเทพมหานคร","บางกอกน้อย","บางขุนศรี","10700"
"102009","กรุงเทพมหานคร","บางกอกน้อย","อรุณอมรินทร์","10700"
"102105","กรุงเทพมหานคร","บางขุนเทียน","ท่าข้าม","10150"
"102107","กรุงเทพมหานคร","บางขุนเทียน","แสมดำ","10150"
"102201","กรุงเทพมหานคร","ภาษีเจริญ","บางหว้า","10160"
"102202","กรุงเทพมหานคร","ภาษีเจริญ","บางด้วน","10160"
"102203","กรุงเทพมหานคร","ภาษีเจริญ","บางแค","10160"
"102204","กรุงเทพมหานคร","ภาษีเจริญ","บางแคเหนือ","10160"
"102205","กรุงเทพมหานคร","ภาษีเจริญ","บางไผ่","10160"
"102206","กรุงเทพมหานคร","ภาษีเจริญ","บางจาก","10160"
"102207","กรุงเทพมหานคร","ภาษีเจริญ","บางแวก","10160"
"102208","กรุงเทพมหานคร","ภาษีเจริญ","คลองขวาง","10160"
"102209","กรุงเทพมหานคร","ภาษีเจริญ","ปากคลองภาษีเจริญ","10160"
"102210","กรุงเทพมหานคร","ภาษีเจริญ","คูหาสวรรค์","10160"
"102302","กรุงเทพมหานคร","หนองแขม","หนองแขม","10160"
"102303","กรุงเทพมหานคร","หนองแขม","หนองค้างพลู","10160"
"102401","กรุงเทพมหานคร","ราษฎร์บูรณะ","ราษฎร์บูรณะ","10140"
"102402","กรุงเทพมหานคร","ราษฎร์บูรณะ","บางปะกอก","10140"
"102403","กรุงเทพมหานคร","ราษฎร์บูรณะ","บางมด","10140"
"102404","กรุงเทพมหานคร","ราษฎร์บูรณะ","ทุ่งครุ","10140"
"102501","กรุงเทพมหานคร","บางพลัด","บางพลัด","10700"
"102502","กรุงเทพมหานคร","บางพลัด","บางอ้อ","10700"
"102503","กรุงเทพมหานคร","บางพลัด","บางบำหรุ","10700"
"102504","กรุงเทพมหานคร","บางพลัด","บางยี่ขัน","10700"
"102601","กรุงเทพมหานคร","ดินแดง","ดินแดง","10400"
"102701","กรุงเทพมหานคร","บึงกุ่ม","คลองกุ่ม","10240"
"102702","กรุงเทพมหานคร","บึงกุ่ม","สะพานสูง","10240"
"102703","กรุงเทพมหานคร","บึงกุ่ม","คันนายาว","10240"
"102801","กรุงเทพมหานคร","สาทร","ทุ่งวัดดอน","10120"
"102802","กรุงเทพมหานคร","สาทร","ยานนาวา","10120"
"102803","กรุงเทพมหานคร","สาทร","ทุ่งมหาเมฆ","10120"
"102901","กรุงเทพมหานคร","บางซื่อ","บางซื่อ","10800"
"103001","กรุงเทพมหานคร","จตุจักร","ลาดยาว","10900"
"103002","กรุงเทพมหานคร","จตุจักร","เสนานิคม","10900"
"103003","กรุงเทพมหานคร","จตุจักร","จันทรเกษม","10900"
"103004","กรุงเทพมหานคร","จตุจักร","จอมพล","10900"
"103005","กรุงเทพมหานคร","จตุจักร","จตุจักร","10900"
"103101","กรุงเทพมหานคร","บางคอแหลม","บางคอแหลม","10120"
"103102","กรุงเทพมหานคร","บางคอแหลม","วัดพระยาไกร","10120"
"103103","กรุงเทพมหานคร","บางคอแหลม","บางโคล่","10120"
"103201","กรุงเทพมหานคร","ประเวศ","ประเวศ","10250"
"103202","กรุงเทพมหานคร","ประเวศ","หนองบอน","10250"
"103203","กรุงเทพมหานคร","ประเวศ","ดอกไม้","10250"
"103204","กรุงเทพมหานคร","ประเวศ","สวนหลวง","10250"
"103301","กรุงเทพมหานคร","คลองเตย","คลองเตย","10110"
"103302","กรุงเทพมหานคร","คลองเตย","คลองตัน","10110"
"103303","กรุงเทพมหานคร","คลองเตย","พระโขนง","10110"
"103304","กรุงเทพมหานคร","คลองเตย","คลองเตยเหนือ","10110"
"103305","กรุงเทพมหานคร","คลองเตย","คลองตันเหนือ","10110"
